Categorie,Nom,Code Postal,Ville,Activite principale,Site Web,Contact
PME,GAIA MINI SYSTEMES ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.gaia.fr,"[['(gaia.bio@gmail.com),', 'reservation@gaia-voyages.\u200bfr', 'francaisinfo@gaiaGaia'], ['(gaia.bio@gmail.com),'], ['reservation@gaia-voyages.\u200bfr'], ['francaisinfo@gaiaGaia'], ['info@gaia']]"
PME,AGID ,69006,LYON 6EME,"Traitement de données, hébergement et activités connexes",www.agid.fr,[]
ETI,KEYRUS ,69004,LYON 4EME,Gestion d installations informatiques,www.keyrus.com,"[['contact-keyrus@keyrus.com.', 'contact-km@keyrus.com.', 'contact@fondationkeyrus.org', 'valerie.sable@keyrus.com.'], ['contact-keyrus@keyrus.com.'], ['contact-km@keyrus.com.'], ['contact@fondationkeyrus.org'], ['valerie.sable@keyrus.com.']]"
ETI,KEYRUS ,69009,LYON 9EME,Gestion d installations informatiques,www.keyrus.com,"[['contact-keyrus@keyrus.com.', 'contact-km@keyrus.com.', 'contact@fondationkeyrus.org', 'valerie.sable@keyrus.com.'], ['contact-keyrus@keyrus.com.'], ['contact-km@keyrus.com.'], ['contact@fondationkeyrus.org'], ['valerie.sable@keyrus.com.']]"
GE,SFR FIBRE SAS ,69006,LYON 6EME,Telecommunications filaires,,[]
PME,ADVANCED HOSPITALITY MANAGEMENT SYSTEM AHMS,69006,LYON 6EME,Programmation informatique,,[]
PME,NET WORKS OFFICE ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,ACTIBASE ,69009,LYON 9EME,Programmation informatique,,[]
PME,CHIPWAY ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,MERCURE ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,COLT TECHNOLOGY SERVICES ,69003,LYON 3EME,Telecommunications filaires,www.colt.net,[['gdpr@colt.net']]
PME,GEOMOD ,69003,LYON 3EME,Programmation informatique,www.geomod.fr,[]
PME,TERCET INTERACTIVE FINANCE ,69006,LYON 6EME,Programmation informatique,,[]
ETI,DEVOTEAM ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.devoteam.com,"[['sheila.escuredo@devoteam.com;', 'jeanyves.demandre.ext@devoteam.com;', 'drhconsulting@devoteam.com']]"
PME,ENTREPRISE DE PRESTATIONS INFORMATIQUES ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,VIRAGE DAUPHINE SAVOIE ,69002,LYON 2EME,Telecommunications filaires,,[]
ETI,UMANIS ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.umanis.com,[]
GE,XPO TRANSPORT SOLUTIONS IT EUROPE ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
GE,XPO TRANSPORT SOLUTIONS IT EUROPE ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,CREARTIS CD PROD ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,AGADENT ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",www.agadent.pl,[['contact@agendaa2.fr.']]
PME,POWER ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
PME,WEBNET ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.webnet.fr,"[['cfelix@webnet.fr.', 'sbloquiau@webnet.fr.Intégrateur'], ['cfelix@webnet.fr.'], ['sbloquiau@webnet.fr.']]"
PME,STRATEGIES INTERACTIVES ,69001,LYON 1ER,Programmation informatique,,[]
PME,DIGORA ,69002,LYON 2EME,Gestion d installations informatiques,www.digora.com,[['reda.belhadj@digora.com.']]
PME,RELAVE ET FANNIERE REF,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,ALTECA ,69006,LYON 6EME,Programmation informatique,www.alteca.fr,"[['grenoble@alteca.fr', 'lyon@\u200balteca.fr', 'paris@alteca.fr'], ['grenoble@alteca.fr'], ['lyon@\u200balteca.fr'], ['paris@alteca.fr']]"
ETI,ALTECA ,69006,LYON 6EME,Programmation informatique,www.alteca.fr,"[['grenoble@alteca.fr', 'lyon@\u200balteca.fr', 'paris@alteca.fr'], ['grenoble@alteca.fr'], ['lyon@\u200balteca.fr'], ['paris@alteca.fr']]"
ETI,ALTECA ,69100,VILLEURBANNE,Programmation informatique,www.alteca.fr,"[['grenoble@alteca.fr', 'lyon@\u200balteca.fr', 'paris@alteca.fr'], ['grenoble@alteca.fr'], ['lyon@\u200balteca.fr'], ['paris@alteca.fr']]"
ETI,ITS GROUP ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.itsgroup.com,"[['contact@itsgroup.\u200bcom.', 'actualitescontact@itsgroup.com', 'carrierescontact@itsgroup.com', 'Sociétécontact@itsgroup.com'], ['contact@itsgroup.\u200bcom.'], ['actualitescontact@itsgroup.com'], ['contact@itsgroup.com'], ['carrierescontact@itsgroup.com'], ['Sociétécontact@itsgroup.com']]"
ETI,ITS GROUP ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.itsgroup.com,"[['contact@itsgroup.\u200bcom.', 'actualitescontact@itsgroup.com', 'carrierescontact@itsgroup.com', 'Sociétécontact@itsgroup.com'], ['contact@itsgroup.\u200bcom.'], ['actualitescontact@itsgroup.com'], ['contact@itsgroup.com'], ['carrierescontact@itsgroup.com'], ['Sociétécontact@itsgroup.com']]"
PME,AMMIS ,69004,LYON 4EME,Programmation informatique,,[]
PME,LAMALIF ,69009,LYON 9EME,Programmation informatique,www.lamalifgroup.ma,"[['contact@\u200b', 'contact@lamalif.ma', 'contact@maroc-diplomatique.infoRecherches'], ['contact@\u200b'], ['contact@lamalif.ma'], ['contact@maroc-diplomatique.info']]"
PME,TECHNIQUES ET SERVICE UNLIMITED TSU,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
GE,TDC TESSI ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",,[]
PME,OBJECT CONSULTAING INSTITUTE ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
GE,ATOS INTEGRATION ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,,[]
PME,M-TECH INDUSTRIES ,69100,VILLEURBANNE,Programmation informatique,,[]
PME,DATAKIT ,69007,LYON 7EME,Programmation informatique,www.datakit.com,[['contact@datakit.com.']]
PME,ARINSO FRANCE ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,,[]
PME,ARICIE ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
PME,MODELISATION DESIGN ET SIMULATION ,69003,LYON 3EME,Programmation informatique,,[]
PME,AUDIVOX ,69007,LYON 7EME,Programmation informatique,www.audivox.fr,[]
PME,IDAO ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.idao-solution.fr,"[['commercial@idao.fr.Par', 'commercial@idao\u200b.fr'], ['commercial@idao.fr.Par'], ['commercial@idao.fr.'], ['commercial@idao\u200b.fr']]"
GE,ALTIMA ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.altima-assurances.fr,"[['reclamation@altima-\u200bassurances.fr.mentions', 'informatique@altima-assurances.\u200bfr', 'gestion-sinistres@altima-assurances.fr.'], ['reclamation@altima-\u200bassurances.fr.'], ['informatique@altima-assurances.\u200bfr'], ['gestion-sinistres@altima-assurances.fr.']]"
PME,EXPERIUM NAX NAX,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.experium-nax.com,"[['tdevanne@experium-nax.com', 'cdebeney@experium-nax.com', 'tdevanne@experium-nax.com.'], ['tdevanne@experium-nax.com'], ['cdebeney@experium-nax.com'], ['tdevanne@experium-nax.com.']]"
PME,DESIRADE ,69007,LYON 7EME,Programmation informatique,,[]
PME,STUDIO NET ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.studio-net.fr,"[['studionet-rouen-@www.studionet.fr', 'communication@lefresnoy.net.Contact', 'studio\u200b@netcom-group.fr', 'service-commercial@netcom-group.fr.'], ['studionet-rouen-@www.studionet.fr'], [], ['communication@lefresnoy.net.'], ['studio\u200b@netcom-group.fr', 'service-commercial@netcom-group.fr.']]"
PME,GRM ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",,[]
PME,SOCIETE COMMERCIALE DE TELECOMMUNICATION SCT SCT,69002,LYON 2EME,Telecommunications sans fil,www.societe.com,[]
PME,BERRODIER P@CKLINE ,69006,LYON 6EME,Programmation informatique,,[]
PME,JM PHOTO LUMIERE ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.jmphotolumiere.com,[]
PME,AGS COM ,69009,LYON 9EME,Programmation informatique,www.ags-garantie-salaires.org,[]
ETI,DEDALUS HEALTHCARE FRANCE ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,www.dedalus-france.fr,"[['marketing@dedalus-france.fr', 'dpo@dedalus-france.fr', 'logiciel@dlsante.fr;', 'connexion@dlsante.fr;', 'tiers@dlsante.fr'], ['marketing@dedalus-france.fr'], ['dpo@dedalus-france.fr'], ['logiciel@dlsante.fr;', 'connexion@dlsante.fr;', 'tiers@dlsante.fr']]"
PME,CENTRE D'INSCRIPTION AU REPERTOIRE NATIONAL DES SOUSCRIPTEURS CIRNS,69005,LYON 5EME,"Traitement de données, hébergement et activités connexes",,[]
ETI,MAINCARE SOLUTIONS ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.maincare.com,[]
PME,POSTMARQUAGE ORGANISATION ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",,[]
PME,EPERNET ,69003,LYON 3EME,Programmation informatique,www.epernet.fr,"[['contact@ville-\u200bepernay.fr(link', 'tourisme@ot-epernay.frContact'], ['contact@ville-\u200bepernay.fr(link'], ['tourisme@ot-epernay.fr']]"
PME,PWA ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,,[]
PME,W3DESIGN ,69007,LYON 7EME,Programmation informatique,www.w3design.it,"[['info@w3designgroup.com', 'info@w3design.it.W3design'], ['info@w3designgroup.com'], ['info@w3design.it.']]"
ETI,VIVERIS INTEGRATION ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.viveris.fr,"[['franck.harmant@\u200bviveris.fr.VIVERIS', 'contact@viveris.fr'], ['franck.harmant@\u200bviveris.fr.'], ['contact@viveris.fr']]"
PME,ABAQUE ,69003,LYON 3EME,Portails Internet,,[]
PME,INTELECOM CONSULTING ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.intelecom-consulting.com,"[['consultant@intelecom-consulting.com.', 'consultant@intelecom-consulting.com.Conseil'], ['consultant@intelecom-consulting.com.']]"
PME,ALTERNET ,69001,LYON 1ER,Conseil en systèmes et logiciels informatiques,www.alternet-consulting.com,"[['contact@alternet-consulting.com.', 'contact@alternet-consulting.com.Plan', 'contact@alternet-consulting.com.Postuler', ""contact@alternet-consulting.com.L'ingénierie""], ['contact@alternet-consulting.com.']]"
PME,LIBELLULA ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.libellula.eu,"[['contact@libellula.eu', 'contact.de@libellula.eu', 'contact.es@libellula.eu', 'contact@libellula.eu.JobSHOP'], ['contact@libellula.eu'], ['contact.de@libellula.eu'], ['contact.es@libellula.eu'], ['contact@libellula.eu.']]"
ETI,SITA TELECOM ,69002,LYON 2EME,Autres activités de télécommunication,www.sita.aero,"[['shareholder.relations@sita.aeroSupport', 'support@sita.aero.', 'worldwide@sita.aero.Société'], ['shareholder.relations@sita.aero'], ['support@sita.aero.'], ['worldwide@sita.aero.']]"
PME,YAD INFORMATIQUE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.yad.fr,"[[""to='yves@yad.fr'"", 'carole@yad.fr'], [""to='yves@yad.fr'""], ['carole@yad.fr']]"
GE,COMPLETEL SAS ,69100,VILLEURBANNE,Telecommunications filaires,,[]
GE,COMPLETEL SAS ,69009,LYON 9EME,Telecommunications filaires,,[]
GE,COMPLETEL SAS ,69007,LYON 7EME,Telecommunications filaires,,[]
ETI,CONSORT FRANCE ,69001,LYON 1ER,Gestion d installations informatiques,www.consortnt.fr,"[['contact@consort-\u200bgroup.com.', 'contact@consortnt.fr', 'jason.guez@consortnt.frRecherches'], ['contact@consort-\u200bgroup.com.'], ['contact@consortnt.fr'], ['jason.guez@consortnt.fr']]"
PME,COACH'IS ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
PME,SOLUTIONS INFORMATIQUES BTP ,69100,VILLEURBANNE,Tierce maintenance de systèmes et d applications informatiques,www.solutions-informatiques.fr,"[['info@\u200bsibq.fr.Comment', 'info@solutions-\u200binformatiques.fr', 'support@soluinfo.fr'], ['info@\u200bsibq.fr.'], ['info@solutions-\u200binformatiques.fr'], ['support@soluinfo.fr']]"
PME,KOSMOS ,69002,LYON 2EME,Tierce maintenance de systèmes et d applications informatiques,www.kosmos-education.com,"[['contact@kosmos.fr', 'contact@kosmos-education.com'], ['contact@kosmos.fr'], ['contact@kosmos-education.com']]"
PME,ACTILAN ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.actilan.fr,"[['(administration@actilan.fr).Extranet'], ['(administration@actilan.fr).']]"
PME,CLININFO ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.clininfo.fr,"[['contact@clininfo.fr', 'contact@clininfo.fr.', 'contact.us@clininfo.fr', 'contact@clininfo.frClients'], ['contact@clininfo.fr'], ['contact@clininfo.fr.', 'contact.us@clininfo.fr']]"
ETI,APRIL TECHNOLOGIES ,69003,LYON 3EME,Programmation informatique,www.april.com,[['melanie.sutter@april.com']]
GE,TRANSDEV BUSINESS INFORMATION SOLUTIONS ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,,[]
ETI,JETPULP ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.jetpulp.fr,"[['hello@jetpulp.fr.', 'contact@jetpulp.fr'], ['hello@jetpulp.fr.'], ['contact@jetpulp.fr']]"
ETI,CORIOLIS TELECOM SAS ,69007,LYON 7EME,Telecommunications sans fil,www.coriolis.com,[['serviceclientfibre@coriolis.fr']]
ETI,CORIOLIS TELECOM SAS ,69007,LYON 7EME,Telecommunications sans fil,www.coriolis.com,[['serviceclientfibre@coriolis.fr']]
ETI,SODIFRANCE ISIS ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.sodifrance.fr,"[['contact@sodifrance.fr.', 'contact@sodifrance.fr.Contact', 'contact@sodifrance.fr', 'achantraine@sodifrance.fr'], ['contact@sodifrance.fr.'], ['contact@sodifrance.fr'], ['achantraine@sodifrance.fr']]"
PME,ALGORYS ,69008,LYON 8EME,Conseil en systèmes et logiciels informatiques,www.algorys.com,"[['home@algorys.com.Distribution'], ['home@algorys.com.']]"
PME,MDSL GROUPE ,69006,LYON 6EME,Telecommunications sans fil,,[]
ETI,VISEO TECHNOLOGIES ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.viseo.com,"[['implantationscontact@viseo.com.', 'contact@viseo.com.'], ['implantationscontact@viseo.com.'], ['contact@viseo.com.']]"
PME,BK SYSTEMES ,69003,LYON 3EME,Programmation informatique,www.bksystemes.fr,"[['newcontact@bksystemes.fr.', 'contact@bksystemes.fr.', '00contact@bksystemes.fr.Recherches'], ['newcontact@bksystemes.fr.'], ['contact@bksystemes.fr.'], ['00contact@bksystemes.fr.']]"
ETI,ALTIZEM ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",,[]
PME,EPIFIT ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.epifit.fr,[]
PME,A KOM ZANZIBAR AKZ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.a-kom-z.com,[]
PME,A KOM ZANZIBAR AKZ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.a-kom-z.com,[]
GE,MONSTER WORLDWIDE ,69008,LYON 8EME,Portails Internet,www.monster.fr,"[['candidat@monster.fr', 'serviceclientele@monster.fr', 'contact@monster.fr.'], ['candidat@monster.fr', 'serviceclientele@monster.fr'], ['contact@monster.fr.']]"
PME,SICAP FRANCE ,69007,LYON 7EME,Tierce maintenance de systèmes et d applications informatiques,www.sicap.com,"[['info@sicap.com', 'sawdia@sicap.sn.SICAP', 'contact@sicap-pithiviers.net'], ['info@sicap.com'], ['sawdia@sicap.sn.'], ['contact@sicap-pithiviers.net']]"
PME,CYBERCITE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.cybercite.fr,[]
ETI,AT&T GLOBAL NETWORK SERVICES FRANCE SAS ,69003,LYON 3EME,Telecommunications filaires,,[]
PME,POOL INFORMATIQUE ,69008,LYON 8EME,Conseil en systèmes et logiciels informatiques,,[]
PME,SYSALE ,69100,VILLEURBANNE,Gestion d installations informatiques,,[]
PME,ASSYST ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",www.assyst-intl.com,"[['contact@assyst.desites', 'info@assyst-intl.com.cn', 'contact@assyst.de', 'contact.usa@assyst-intl.comAssystwww.assyst.de3D-Digitalisierung'], ['contact@assyst.de'], ['info@assyst-intl.com.cn'], ['contact.usa@assyst-intl.com'], []]"
PME,E.T.I.S. INFORMATIQUE ENGINEERING  TECHNOLOGY FOR INDUSTRY AND SERVICES (INFORMATIQUE) ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,IORGA GROUP ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
PME,AZNETWORK ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,www.aznetwork.eu,"[['contact@aznetwork.eu.Mentions', 'contact@aznetwork.eu.', 'contact@aznetwork.eu\u200b.Recherches', 'contact@aznetwork.eu.AZNETWORKaznetwork.eu', 'contact@aznetwork.\u200beu.Matériel', 'contact@aznetwork.eu.Recrutement', 'contact@aznetwork.eu..', 'contact@aznetwork.eu.AZNETWORK', 'contact@aznetwork.eu.Recherches'], ['contact@aznetwork.eu.'], ['contact@aznetwork.eu\u200b.'], ['contact@aznetwork.\u200beu.'], ['contact@aznetwork.eu..']]"
PME,MACROSS INFORMATIQUE ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,www.macross.fr,"[['macross@\u200bmacross.fr', 'macross@macross.fr.', 'macross@macross.fr'], ['macross@\u200bmacross.fr'], ['macross@macross.fr.'], ['macross@macross.fr']]"
PME,NOCRATES ,69003,LYON 3EME,Programmation informatique,www.nocrates.com,"[['contact@nocrates.comCette', 'contact@nocrates.\u200bcom', 'Contact@nocrates.com.'], ['contact@nocrates.comCette'], ['contact@nocrates.\u200bcom'], ['Contact@nocrates.com.']]"
PME,MEDIAVEILLE ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.mediaveille.com,[]
PME,NERIM ,69006,LYON 6EME,Telecommunications filaires,www.nerim.com,"[['support@nerim.com.', 'serviceclient@nerim.com', 'contact@nerim.com.'], ['support@nerim.com.'], ['serviceclient@nerim.com'], ['contact@nerim.com.']]"
PME,STRIDES ,69001,LYON 1ER,Conseil en systèmes et logiciels informatiques,www.stridesapp.com,[]
PME,E.S. TELECOM ,69008,LYON 8EME,Conseil en systèmes et logiciels informatiques,,[]
PME,SOFTYPACK ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,www.softypack.fr,[['contact@softypack.fr']]
PME,ADVANSYS COMMUNICATIONS ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.advansysinc.com,[]
PME,EXELIS SA ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.exelis.com,[['contact\u200b@my-exelis.com;']]
GE,THALES SERVICES NUMERIQUES SAS ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
PME,STOP INFORMATIQUE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.stopinfo.fr,"[['contact@stopfil.fr.', 'contact@microfutur.fr.', 'patrick@stopinfo.fr.', 'contact@sun-valley-systems.fr.'], ['contact@stopfil.fr.'], ['contact@microfutur.fr.', 'patrick@stopinfo.fr.', 'contact@sun-valley-systems.fr.']]"
ETI,HELLOWORK ,69007,LYON 7EME,Portails Internet,www.hellowork.com,[['contact@regionsjob.\u200bcom']]
PME,ACI INFORMATIQUE ,69003,LYON 3EME,Programmation informatique,www.aci-info.fr,"[['contact@\u200baci-info.fr', 'contact@aci-\u200binfo.fr.Aci'], ['contact@\u200baci-info.fr'], ['contact@aci-\u200binfo.fr.']]"
PME,ALINTO ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",www.alinto.com,[['(@)']]
PME,ATEO ,69003,LYON 3EME,Programmation informatique,www.ateoenergies.com,[['info@ateoenergies.com']]
PME,DIFFUSION ACTIVE ,69001,LYON 1ER,Programmation informatique,,[]
PME,WINTEAM ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",www.winteam.fr,"[[""info@winteam.fr.L'agence"", 'contact@winteam-it.fr.Recherches'], ['info@winteam.fr.'], ['contact@winteam-it.fr.']]"
PME,ATOL CONSEILS ET DEVELOPPEMENTS ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,www.atolcd.com,"[['contact@atolcd.', 'contact@atolcd.comQui', 'contact@atolcd.Recherches'], ['contact@atolcd.'], [], ['contact@atolcd.com']]"
PME,ATHENASYS ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.athenasys4u.com,[]
PME,MEDIACTEURS ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.mediacteurs.com,[]
ETI,ASPX ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
PME,LINKEO.COM ,69002,LYON 2EME,Portails Internet,www.linkeo.com,[]
PME,SOFTY-SOFT ,69100,VILLEURBANNE,Programmation informatique,,[]
PME,MAGELLAN ,69100,VILLEURBANNE,Programmation informatique,www.magellan-bio.fr,"[['src@magellan-bio.fr.', 'serviceclient@magellan-bio.fr', 'contact@magellan-bio.fr.'], ['src@magellan-bio.fr.'], ['serviceclient@magellan-bio.fr'], ['contact@magellan-bio.fr.']]"
ETI,DIGITAL VIRGO FRANCE ,69003,LYON 3EME,Programmation informatique,www.digitalvirgo.com,[['contact@digitalvirgo.com']]
PME,INTERFACE-COM GROUPE NAKO ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.interface-com.fr,[['contact.fr@interface.com']]
PME,ALINEA INTERACTIVE ,69009,LYON 9EME,Programmation informatique,,[]
PME,MTPI ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,,[]
PME,AGENCE INTERACTIVE ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
PME,NOVENCIA GROUP ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.novencia.com,"[['contact@novencia.com.', 'contact@\u200bnovencia.com'], ['contact@novencia.com.'], ['contact@\u200bnovencia.com']]"
GE,IN EXTENSO SOCIAL ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",www.inextenso-social.fr,[['donneespersonnelles@inextenso.fr']]
PME,LINAGORA LINUX,69003,LYON 3EME,Programmation informatique,,[]
PME,SIMCON FRANCE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.simcon.fr,[]
PME,INGETIC ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,www.ingetic.fr,[]
PME,BG PARTNERS ,69001,LYON 1ER,Conseil en systèmes et logiciels informatiques,www.bgpartners.eu,"[['Partnerscontact@bgpartners.eu', 'contact@bgpartners.euGuillaume'], ['Partnerscontact@bgpartners.eu'], ['contact@bgpartners.eu']]"
PME,MEDEXONLINE ,69003,LYON 3EME,Programmation informatique,,[]
PME,PERCALL ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.percallgroup.com,"[['rgpd@percallgroup.comPLM,'], ['rgpd@percallgroup.com']]"
ETI,ITELLIGENCE FRANCE ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
PME,PUB ONLINE CONCEPTION ,69003,LYON 3EME,Programmation informatique,,[]
PME,INVECTO ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",,[]
PME,SINENSIS ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,,[]
PME,CEGEDO ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,EDISYS ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",www.edisys.eu,"[['contact@spigao.com.', 'dpo-spigao@edisys.eu', '[tanguy.briez@edisys.eu]\u200b', 'marjolaine.weber@edisys.eu', 'christophe.rosain@edisys.eu.', 'aurelie.thomas@edisys.eu'], ['contact@spigao.com.'], ['dpo-spigao@edisys.eu'], ['[tanguy.briez@edisys.eu]\u200b'], ['marjolaine.weber@edisys.eu'], ['christophe.rosain@edisys.eu.'], ['aurelie.thomas@edisys.eu']]"
PME,EDIFIXIO ,69001,LYON 1ER,Tierce maintenance de systèmes et d applications informatiques,www.edifixio.com,"[['contact@edifixio.com.', 'contact@edifixio.com'], ['contact@edifixio.com.'], [], ['contact@edifixio.com']]"
PME,CRISTEAL ,69003,LYON 3EME,Programmation informatique,www.cristeal.com,[]
PME,NET-ELLIPSE ,69100,VILLEURBANNE,Programmation informatique,,[]
PME,EPHICOM ,69007,LYON 7EME,Programmation informatique,,[]
PME,ADVENS ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.advens.fr,"[['dpo@advens.fr.Entreprise', 'contact@advens.fr.', 'jobs@advens.fr'], ['dpo@advens.fr.'], ['contact@advens.fr.'], ['jobs@advens.fr']]"
PME,ASSOCIATION WEB GONES ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,ANTEOR GROUP ,69003,LYON 3EME,Programmation informatique,www.anteor.com,"[['contact@anteor.com.Fabricant', 'contact@anteor.com.'], [], ['contact@anteor.com.']]"
PME,SOFFT TECHNOLOGIES ,69009,LYON 9EME,Programmation informatique,www.sofft-technologies.fr,"[['sofft@sofft.fr', 'chpollionnay@free.fr,', 'webmaster@sofft.fr'], ['sofft@sofft.fr'], ['chpollionnay@free.fr,'], ['webmaster@sofft.fr']]"
ETI,VIVERIS SYSTEMES ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.viveris.fr,"[['franck.harmant@\u200bviveris.fr.VIVERIS', 'contact@viveris.fr'], ['franck.harmant@\u200bviveris.fr.'], ['contact@viveris.fr']]"
PME,CLEARSY ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,www.clearsy.com,"[['contact@clearsy.com', 'contact@clearsy.\u200bcom'], ['contact@clearsy.com'], ['contact@clearsy.\u200bcom']]"
GE,CARREFOUR SYSTEMES D'INFORMATION C.S.I.,69003,LYON 3EME,Programmation informatique,,[]
GE,CARREFOUR SYSTEMES D'INFORMATION C.S.I.,69003,LYON 3EME,Programmation informatique,,[]
PME,SOFFT INDUSTRIES ,69009,LYON 9EME,Programmation informatique,www.sofft.fr,"[['sofft@sofft.fr', 'chpollionnay@free.fr,'], ['sofft@sofft.fr'], ['chpollionnay@free.fr,']]"
PME,BRIOUDE INTERNET ,69003,LYON 3EME,Programmation informatique,www.brioude-internet.fr,"[['contact@brioude-\u200binternet.fr', 'contact@brioude-internet.fr.', 'aboutcontact@brioude-internet.fr'], ['contact@brioude-\u200binternet.fr'], [], ['contact@brioude-internet.fr.'], ['aboutcontact@brioude-internet.fr'], ['contact@brioude-internet.fr']]"
ETI,EXAKIS NELITE ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.exakis-nelite.com,[['contact@exakis-nelite.com.']]
PME,LIBERCITE ,69001,LYON 1ER,Programmation informatique,,[]
